"Freq [GHz]","Theta [deg]","Phi [deg]","dB(GainTotal) []"
11.27,90,0,-1.60227519410855
11.27,90,5,-1.23477327255925
11.27,90,10,-0.833985668346336
11.27,90,15,-0.305225126045004
11.27,90,20,0.402702513954572
11.27,90,25,1.18904373316022
11.27,90,30,1.9445456276113
11.27,90,35,2.6814840018462
11.27,90,40,3.43401737799623
11.27,90,45,4.11913045697457
11.27,90,50,4.59766108705511
11.27,90,55,4.77688622502839
11.27,90,60,4.6063310539095
11.27,90,65,4.04493382834278
11.27,90,70,3.02624808620848
11.27,90,75,1.38600983437858
11.27,90,80,-1.24311370497924
11.27,90,85,-5.53854286414716
11.27,90,90,-9.87525874333286
11.27,90,95,-5.52887287562998
11.27,90,100,-1.25954268750661
11.27,90,105,1.34939285435021
11.27,90,110,2.96801798452617
11.27,90,115,3.96856029536971
11.27,90,120,4.53829302975546
11.27,90,125,4.76404084795136
11.27,90,130,4.6780273003823
11.27,90,135,4.28626880016026
11.27,90,140,3.61966773895759
11.27,90,145,2.78151589779678
11.27,90,150,1.89039888972842
11.27,90,155,0.984589245464018
11.27,90,160,0.0986838921579848
11.27,90,165,-0.613322176968346
11.27,90,170,-1.01137521168869
11.27,90,175,-1.17349972003169
11.27,90,180,-1.27980891796594
11.27,90,185,-1.40780438102033
11.27,90,190,-1.55642159053013
11.27,90,195,-1.79505784108051
11.27,90,200,-2.27984852141025
11.27,90,205,-3.06956320358078
11.27,90,210,-3.90042513909055
11.27,90,215,-4.18690165944135
11.27,90,220,-3.5722937458862
11.27,90,225,-2.33260200519854
11.27,90,230,-0.896715622237982
11.27,90,235,0.462094064130934
11.27,90,240,1.48920886900044
11.27,90,245,1.90433343151739
11.27,90,250,1.47208274940207
11.27,90,255,-0.018082300086323
11.27,90,260,-2.9316954678072
11.27,90,265,-8.48862596393404
11.27,90,270,-22.748399906834
11.27,90,275,-8.99338367333606
11.27,90,280,-3.25108392261109
11.27,90,285,-0.23012145336857
11.27,90,290,1.37453348388176
11.27,90,295,1.90431392521181
11.27,90,300,1.51213128200114
11.27,90,305,0.382650484978414
11.27,90,310,-1.17209663053549
11.27,90,315,-2.7153502060713
11.27,90,320,-3.7499559433351
11.27,90,325,-3.95887703060435
11.27,90,330,-3.50216664290871
11.27,90,335,-2.79281811255529
11.27,90,340,-2.22223957085247
11.27,90,345,-1.99029673525785
11.27,90,350,-1.9771366765067
11.27,90,355,-1.88684575123045
11.27,90,360,-1.60227519410854
