"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3.65,90,0,2.30361568169729
3.65,90,5,2.17473204692225
3.65,90,10,1.95249009269975
3.65,90,15,1.63586094292727
3.65,90,20,1.22308166087532
3.65,90,25,0.711325272816446
3.65,90,30,0.0962023500159273
3.65,90,35,-0.628981524545331
3.65,90,40,-1.47435204331382
3.65,90,45,-2.45523724868838
3.65,90,50,-3.59509177771304
3.65,90,55,-4.93063152134279
3.65,90,60,-6.52158440595419
3.65,90,65,-8.47122673840066
3.65,90,70,-10.9763467805034
3.65,90,75,-14.4784811208097
3.65,90,80,-20.3365708702247
3.65,90,85,-34.9222343460146
3.65,90,90,-20.6464615000933
3.65,90,95,-14.6789463539871
3.65,90,100,-11.1526837654965
3.65,90,105,-8.64168049951713
3.65,90,110,-6.688939285833
3.65,90,115,-5.09170031720351
3.65,90,120,-3.74367833856868
3.65,90,125,-2.58342816729991
3.65,90,130,-1.57323410339931
3.65,90,135,-0.689110014253646
3.65,90,140,0.0844696497562037
3.65,90,145,0.757581366539765
3.65,90,150,1.33668790458159
3.65,90,155,1.82581550565771
3.65,90,160,2.22733924824785
3.65,90,165,2.54252124340456
3.65,90,170,2.77188337227192
3.65,90,175,2.91546171050626
3.65,90,180,2.97296956747242
