freq_ghz,s11_db
60.0,-7.5259442224517
60.4040404040404,-7.58777695095556
60.8080808080808,-7.65420298192707
61.2121212121212,-7.72511671213963
61.6161616161616,-7.80069695187129
62.020202020202,-7.88152385809206
62.4242424242424,-7.9687141890583
62.8282828282828,-8.06405283739431
63.2323232323232,-8.17007776092011
63.6363636363636,-8.29005529636744
64.040404040404,-8.42777920714789
64.4444444444444,-8.58716089038361
64.8484848484848,-8.77165957786584
65.2525252525253,-8.98370361615165
65.6565656565657,-9.22431066528852
66.0606060606061,-9.49306452276944
66.4646464646465,-9.78845943794946
66.8686868686869,-10.1084703267935
67.2727272727273,-10.4511445909778
67.6767676767677,-10.8150570006859
68.0808080808081,-11.1995672078982
68.4848484848485,-11.6049029460473
68.8888888888889,-12.0321306467118
69.2929292929293,-12.4830755190692
69.6969696969697,-12.9602349653814
70.1010101010101,-13.4667082889055
70.5050505050505,-14.0061489443381
70.9090909090909,-14.5827337290764
71.3131313131313,-15.2011343952945
71.7171717171717,-15.8664699771752
72.1212121212121,-16.5842171438721
72.5252525252525,-17.3600849212699
72.9292929292929,-18.2000016026193
73.3333333333333,-19.1108463347874
73.7373737373737,-20.1038390593848
74.1414141414141,-21.2046021089486
74.5454545454545,-22.4726927186123
74.9494949494949,-24.0157863029443
75.3535353535353,-25.9495402786135
75.7575757575758,-28.2387144375529
76.1616161616162,-30.2906426202379
76.5656565656566,-30.6746118232271
76.969696969697,-29.1347619589412
77.3737373737374,-27.0471347838882
77.7777777777778,-25.1368020658045
78.1818181818182,-23.5221526410145
78.5858585858586,-22.1702893099311
78.989898989899,-21.0316956324207
79.3939393939394,-20.0654656324639
79.7979797979798,-19.2411383704657
80.2020202020202,-18.5366095617539
80.6060606060606,-17.9360102932162
81.010101010101,-17.4281479617863
81.4141414141414,-17.0054525539096
81.8181818181818,-16.6632750532365
82.2222222222222,-16.3993829244133
82.6262626262626,-16.2134809246619
83.030303030303,-16.1065201429637
83.4343434343434,-16.0794331972738
83.8383838383838,-16.1307870365872
84.2424242424242,-16.252868652331
84.6464646464647,-16.4264254756081
85.0505050505051,-16.6164068577793
85.4545454545455,-16.7741788424476
85.8585858585859,-16.8514193580602
86.2626262626263,-16.8211516111934
86.6666666666667,-16.6891011402263
87.0707070707071,-16.4844371569757
87.4747474747475,-16.239651023282
87.8787878787879,-15.9758038635859
88.2828282828283,-15.6983466023259
88.6868686868687,-15.3997084464328
89.0909090909091,-15.0643013761277
89.4949494949495,-14.6739916478201
89.8989898989899,-14.2134565239486
90.3030303030303,-13.6748160383724
90.7070707070707,-13.0605116483614
91.1111111111111,-12.3835672195598
91.5151515151515,-11.6652957604975
91.9191919191919,-10.9315045955961
92.3232323232323,-10.2085393404553
92.7272727272727,-9.52007383083074
93.1313131313131,-8.88494125676039
93.5353535353535,-8.3159369560999
93.9393939393939,-7.81943886232226
94.3434343434343,-7.39571529174734
94.7474747474747,-7.03978762024177
95.1515151515152,-6.7426732248156
95.5555555555556,-6.49280499284082
95.9595959595959,-6.27744630414369
96.3636363636363,-6.08398276522359
96.7676767676768,-5.90103192860149
97.1717171717172,-5.71933694915619
97.5757575757576,-5.53239934603097
97.979797979798,-5.33678837330229
98.3838383838384,-5.13207505673395
98.7878787878788,-4.92039308279369
99.1919191919192,-4.70570909308976
99.5959595959596,-4.4929524332082
100.0,-4.2871753532037
