Variation,g1,g2,g3,l1,l2,lw,patch_r,slot_length,sw,dB(S(1 1)): Freq(6.6GHz),max(dB(S(1 1))): Freq(2.5GHz:6.3GHz),max(dB(S(1 1))): Freq(6.8GHz:12GHz),Cost
33,20.136054mm,2.3081633mm,6.6857143mm,16.3mm,2.8571429mm,2.4047619mm,7.9455782mm,23.809524mm,0.71428571mm,-18.904617,1.8399099,-2.9821994,331.15289
34,17.088435mm,2.4938776mm,7.1809524mm,12.086395mm,2.952381mm,4.452381mm,8.5442177mm,18.639456mm,1.3401361mm,-5.711018,-7.2739844,12.851049,529.60158
35,17.306122mm,4.5632653mm,4.2095238mm,9.9795918mm,2.707483mm,4.4285714mm,7.6190476mm,28.843537mm,1.3469388mm,-7.9122143,-8.9696228,11.895567,481.30966
36,15.455782mm,5.8367347mm,6.8272109mm,20.070068mm,1.9047619mm,2.3571429mm,8.2176871mm,28.571429mm,1.1632653mm,-15.246158,-10.28342,-9.2883586,68.505553
37,10.231293mm,2.2816327mm,2.7591837mm,10.866667mm,1.7687075mm,3.7142857mm,5.2789116mm,19.727891mm,1.0748299mm,-12.0103,3.7213411,-10.638937,213.3783
38,22.421769mm,4.2714286mm,6.614966mm,22.176871mm,2.1768707mm,4.7619048mm,11.319728mm,25.034014mm,0.85714286mm,-13.71709,-5.846383,-7.2934985,69.696984
39,17.741497mm,3.6612245mm,3.2190476mm,21.40068mm,1.170068mm,4.6666667mm,4.5714286mm,15.510204mm,0.95238095mm,-11.242768,3.0938218,-4.4973277,219.72865
40,11.755102mm,4.6163265mm,2.9714286mm,13.527891mm,1.9455782mm,2.6904762mm,10.503401mm,27.07483mm,0.59863946mm,-12.15539,-10.174471,-10.915929,26.578047
41,17.959184mm,5.7836735mm,5.0938776mm,12.197279mm,1.4421769mm,2.452381mm,10.44898mm,11.972789mm,0.91156463mm,-6.3601327,-8.385924,2.8262788,167.11867
42,20.680272mm,4.5897959mm,4.8108844mm,24.061905mm,1.7278912mm,2mm,10.612245mm,22.721088mm,1.244898mm,-13.379123,-11.872954,-8.8881204,41.929487
43,23.510204mm,4.4571429mm,5.7659864mm,22.731293mm,1.6734694mm,5.0952381mm,6.3129252mm,21.632653mm,1.2176871mm,-15.289343,-3.7072182,-8.2594773,111.34173
44,20.244898mm,4.9877551mm,7.3578231mm,18.961224mm,1.6326531mm,1.8333333mm,10.176871mm,22.312925mm,0.70748299mm,-17.021215,-2.2565156,-4.1033369,195.15693
45,21.659864mm,3.4755102mm,7.7115646mm,16.965306mm,2.5034014mm,3.5714286mm,5.9863946mm,10.884354mm,0.92517007mm,-24.86461,2.6910661,3.6555111,666.68042
46,8.3809524mm,5.1204082mm,5.3414966mm,9.8687075mm,1.1156463mm,3.452381mm,7.2380952mm,23.401361mm,1.2517007mm,-10.00859,-4.3470834,-5.8264762,58.425381
47,10.44898mm,2.9979592mm,3.7496599mm,23.285714mm,1.4013605mm,4.7142857mm,8.707483mm,16.190476mm,1.2789116mm,-16.189353,-0.81183186,-6.0310668,184.61908
48,14.258503mm,3.9265306mm,6.3673469mm,20.846259mm,1.3877551mm,4.5mm,8.3265306mm,10.47619mm,0.57142857mm,-13.586831,-7.5431616,-3.3336221,93.862995
49,12.734694mm,3.1571429mm,7.6761905mm,11.088435mm,1.3333333mm,2.5238095mm,7.5646259mm,23.673469mm,1.2040816mm,-11.70415,-12.173423,-4.6535417,50.713641
50,19.482993mm,2.1755102mm,5.2707483mm,17.519728mm,2.1360544mm,4.8809524mm,6.6938776mm,15.102041mm,0.50340136mm,-8.3897033,-7.0555971,-1.858245,76.888958
51,23.619048mm,5.3326531mm,5.8013605mm,11.753741mm,2.3673469mm,3.6428571mm,5.877551mm,25.714286mm,0.66666667mm,-6.4574972,-8.0207211,15.443179,651.27291
52,16mm,4.5102041mm,3.3959184mm,9.6469388mm,1.1020408mm,2.0714286mm,5.7142857mm,17.823129mm,1.0204082mm,-13.536669,-11.343407,10.049159,444.69681
53,8.9251701mm,2.1489796mm,5.9782313mm,11.864626mm,2.2721088mm,4.2380952mm,8.5986395mm,14.013605mm,0.68027211mm,-13.773173,-6.6762624,-9.1609206,57.627162
54,20.353741mm,2.4408163mm,6.4027211mm,22.398639mm,1.2244898mm,4.3571429mm,10.394558mm,24.761905mm,0.93197279mm,-10.843214,-6.496412,-2.6174793,81.547035
55,8.707483mm,4.722449mm,5.907483mm,15.080272mm,2.0952381mm,2.1904762mm,8.7619048mm,13.469388mm,1.4285714mm,-11.229023,-10.307921,-8.7228194,19.515827
56,9.1428571mm,3.0510204mm,4.7755102mm,15.856463mm,2.244898mm,2.547619mm,11.918367mm,25.85034mm,1.3673469mm,-13.231192,-7.1415555,-8.5965978,48.967992
